snp_index,position_bp,snp_index_qc,snp_index_pruned
451,180820.0,386,93
456,182603.0,391,94
462,183828.0,395,95
463,183890.0,396,96
468,184958.0,400,97
473,187357.0,404,98
475,188413.0,406,99
483,192341.0,413,100
487,193245.0,417,101
503,199807.0,432,102
505,200055.0,434,103
506,200184.0,435,104
509,202057.0,437,105
511,202434.0,439,106
519,203936.0,447,107
523,205080.0,450,108
526,205739.0,453,109
538,208583.0,463,110
541,209491.0,466,111
544,209939.0,469,112
551,212543.0,475,113
552,212817.0,476,114
558,216034.0,481,115
559,216293.0,482,116
566,217604.0,489,117
571,219177.0,494,118
603,228780.0,522,119
610,231179.0,527,120
623,239189.0,537,121
624,239211.0,538,122
634,241747.0,546,123
644,246267.0,554,124
650,247176.0,559,125
652,248177.0,561,126
654,248577.0,563,127
663,251390.0,572,128
667,253006.0,576,129
670,256188.0,579,130
675,257182.0,583,131
677,257943.0,585,132
685,260588.0,587,133
687,261024.0,589,134
693,263149.0,594,135
697,266136.0,598,136
707,268826.0,607,137
708,269253.0,608,138
716,271232.0,615,139
718,271909.0,616,140
719,272386.0,617,141
729,276794.0,623,142
754,288861.0,642,143
766,293763.0,652,144
767,294344.0,653,145
768,294386.0,654,146
769,294434.0,655,147
770,294834.0,656,148
771,294883.0,657,149
773,296150.0,658,150
774,296698.0,659,151
781,299998.0,665,152
782,300291.0,666,153
786,301984.0,669,154
793,303659.0,675,155
798,306705.0,680,156
800,307694.0,682,157
805,309652.0,687,158
808,310747.0,689,159
812,311703.0,693,160
814,312445.0,695,161
821,315600.0,701,162
822,316385.0,702,163
828,318170.0,707,164
837,323928.0,711,165
845,326949.0,718,166
855,331335.0,724,167
860,332672.0,728,168
861,333374.0,729,169
865,334225.0,733,170
866,334255.0,734,171
869,335716.0,737,172
897,344311.0,760,173
904,346794.0,766,174
909,348003.0,771,175
911,348809.0,773,176
914,349201.0,776,177
916,350959.0,778,178
928,357371.0,787,179
932,358551.0,789,180
939,360022.0,794,181
941,360471.0,796,182
947,362239.0,802,183
948,362323.0,803,184
949,362997.0,804,185
960,366637.0,813,186
961,366745.0,814,187
966,369553.0,818,188
970,370647.0,821,189
982,373526.0,832,190
986,374214.0,836,191
990,374775.0,840,192
994,376123.0,844,193
1008,384068.0,853,194
1011,385389.0,856,195
1018,387270.0,862,196
1023,389529.0,866,197
1026,390670.0,868,198
1029,392901.0,870,199
1031,393915.0,871,200
1033,394555.0,873,201
1035,394935.0,875,202
1036,396334.0,876,203
1038,397027.0,878,204
1042,398183.0,881,205
1043,399399.0,882,206
1046,402514.0,885,207
1049,404216.0,888,208
1054,407432.0,891,209
1056,407485.0,893,210
1062,412895.0,898,211
1063,413284.0,899,212
1085,423967.0,918,213
1086,425479.0,919,214
1088,426559.0,920,215
1091,428974.0,922,216
1092,429088.0,923,217
1102,432377.0,933,218
1113,437934.0,941,219
1121,443695.0,946,220
1128,446773.0,952,221
1135,449801.0,958,222
1139,451377.0,961,223
1142,453235.0,963,224
1143,454113.0,964,225
1144,455622.0,965,226
1146,457062.0,967,227
1148,458721.0,969,228
1152,459853.0,971,229
1155,463312.0,973,230
1158,464688.0,976,231
1163,468646.0,980,232
1170,471344.0,985,233
1172,472260.0,987,234
1176,474521.0,990,235
1184,478040.0,997,236
1185,479011.0,998,237
1193,482163.0,1005,238
1197,484682.0,1008,239
1204,487841.0,1013,240
1208,489293.0,1017,241
1210,490204.0,1019,242
1211,490669.0,1020,243
1212,491025.0,1021,244
1217,494565.0,1025,245
1221,497274.0,1029,246
1224,499281.0,1031,247
1225,499907.0,1032,248
1226,501770.0,1033,249
1229,503715.0,1036,250
1230,504074.0,1037,251
1231,504440.0,1038,252
1234,506840.0,1039,253
1236,507425.0,1041,254
1238,508111.0,1042,255
1246,511116.0,1049,256
1248,511526.0,1051,257
1271,519982.0,1072,258
1284,523816.0,1083,259
1285,523889.0,1084,260
1292,525163.0,1090,261
1293,525489.0,1091,262
1295,526183.0,1093,263
1306,534396.0,1103,264
1308,535638.0,1105,265
1309,536271.0,1106,266
1312,536472.0,1109,267
1317,539789.0,1112,268
1320,540794.0,1115,269
1321,541219.0,1116,270
1332,544991.0,1127,271
1333,545485.0,1128,272
1339,547205.0,1134,273
1341,547625.0,1136,274
1354,551471.0,1148,275
1359,552919.0,1153,276
1363,554883.0,1156,277
1371,557453.0,1162,278
1388,563259.0,1179,279
1394,566149.0,1185,280
1402,568683.0,1193,281
1403,568942.0,1194,282
1405,570697.0,1196,283
1410,572347.0,1201,284
1413,573547.0,1204,285
1418,577735.0,1207,286
1421,579908.0,1209,287
1439,586828.0,1225,288
1443,588586.0,1229,289
1446,589406.0,1232,290
1449,590877.0,1234,291
1453,591634.0,1237,292
1469,596306.0,1251,293
1473,597984.0,1253,294
1480,600498.0,1260,295
1484,604687.0,1264,296
1486,605915.0,1266,297
1490,607180.0,1267,298
1495,609748.0,1272,299
1502,611428.0,1278,300
1506,613658.0,1280,301
1508,614312.0,1282,302
1511,617650.0,1285,303
1514,618174.0,1288,304
1521,619731.0,1292,305
1537,625729.0,1308,306
1544,627103.0,1314,307
1552,629740.0,1322,308
1555,631198.0,1324,309
1559,632372.0,1328,310
1563,634611.0,1332,311
1564,634659.0,1333,312
1572,636507.0,1341,313
1575,638145.0,1343,314
1582,641393.0,1349,315
1589,644004.0,1356,316
1596,647116.0,1362,317
1598,647854.0,1364,318
1602,651468.0,1367,319
1609,653375.0,1373,320
1614,654174.0,1378,321
1620,655714.0,1383,322
1621,656228.0,1384,323
1628,658870.0,1390,324
1633,660169.0,1395,325
1638,660783.0,1400,326
1641,662129.0,1403,327
1652,667313.0,1413,328
1659,671441.0,1416,329
1660,671521.0,1417,330
1668,676228.0,1423,331
1670,677140.0,1424,332
1673,677741.0,1427,333
1690,682873.0,1442,334
1699,687019.0,1451,335
1702,688195.0,1454,336
1703,688264.0,1455,337
1720,696024.0,1470,338
1725,696760.0,1473,339
1740,704099.0,1486,340
1743,705936.0,1489,341
1756,709839.0,1500,342
1757,709928.0,1501,343
1767,713592.0,1508,344
1768,713896.0,1509,345
1774,716359.0,1511,346
1778,717423.0,1513,347
1782,719860.0,1516,348
1787,720973.0,1520,349
1807,723406.0,1539,350
1814,725268.0,1544,351
1821,727941.0,1551,352
1824,729142.0,1554,353
1834,735004.0,1563,354
1844,740412.0,1573,355
1845,741124.0,1574,356
1848,741996.0,1575,357
1862,749487.0,1586,358
1869,751036.0,1593,359
1872,753718.0,1596,360
1881,757503.0,1602,361
1882,758152.0,1603,362
1897,767377.0,1614,363
1898,767558.0,1615,364
1902,770911.0,1619,365
1906,772302.0,1622,366
1910,773869.0,1626,367
1911,775254.0,1627,368
1934,782189.0,1644,369
1935,782238.0,1645,370
1939,783604.0,1648,371
1943,785075.0,1651,372
1945,785162.0,1653,373
1956,791783.0,1662,374
1962,795131.0,1667,375
1970,796633.0,1673,376
1973,798703.0,1676,377
1983,802561.0,1682,378
1987,803330.0,1684,379
1989,804376.0,1686,380
1994,807830.0,1691,381
1995,808937.0,1692,382
2000,813270.0,1695,383
2007,816564.0,1701,384
2009,818271.0,1702,385
2013,819785.0,1705,386
2014,820063.0,1706,387
2020,822514.0,1711,388
2022,822703.0,1713,389
2027,825001.0,1717,390
2035,828206.0,1724,391
2045,831812.0,1732,392
2047,832785.0,1734,393
2066,839140.0,1752,394
2084,845025.0,1767,395
2085,845134.0,1768,396
2089,845743.0,1772,397
2097,852375.0,1780,398
2098,852383.0,1781,399
2100,854769.0,1783,400
2102,854829.0,1785,401
2131,863243.0,1812,402
2136,863579.0,1816,403
2139,864241.0,1819,404
2148,867656.0,1826,405
2152,870006.0,1830,406
2156,870298.0,1834,407
2172,878453.0,1848,408
2176,881879.0,1851,409
2177,882046.0,1852,410
2184,884981.0,1858,411
2189,888694.0,1861,412
2190,889620.0,1862,413
2192,890267.0,1864,414
2196,892041.0,1867,415
2200,893271.0,1871,416
2203,894442.0,1874,417
2216,899884.0,1886,418
2219,900256.0,1888,419
2220,900579.0,1889,420
2222,901053.0,1891,421
2229,905827.0,1896,422
2230,907021.0,1897,423
2232,908730.0,1898,424
2243,911801.0,1907,425
2244,911989.0,1908,426
2248,912859.0,1911,427
2250,913301.0,1913,428
2252,916040.0,1915,429
2253,916043.0,1916,430
2261,918533.0,1924,431
2288,924477.0,1946,432
2298,926995.0,1953,433
2306,928992.0,1960,434
2309,930224.0,1962,435
2317,933525.0,1969,436
2318,933766.0,1970,437
2321,934926.0,1973,438
2334,939458.0,1986,439
2339,941457.0,1990,440
2344,942792.0,1995,441
2355,944126.0,2004,442
2358,946052.0,2006,443
2369,950544.0,2015,444
2373,952067.0,2019,445
2379,957599.0,2024,446
2383,959565.0,2027,447
2387,960340.0,2030,448
2392,962857.0,2034,449
2402,966969.0,2042,450
2403,967403.0,2043,451
2405,967541.0,2045,452
2408,968411.0,2047,453
2419,973424.0,2055,454
2425,975790.0,2061,455
2426,976082.0,2062,456
2431,978382.0,2067,457
2432,978502.0,2068,458
2433,979062.0,2069,459
2437,981355.0,2073,460
2438,982106.0,2074,461
2445,983525.0,2080,462
2450,987723.0,2085,463
2458,990879.0,2093,464
2463,992924.0,2097,465
2482,997543.0,2114,466
2486,998212.0,2116,467
2492,1000365.0,2122,468
2496,1001996.0,2125,469
2498,1002127.0,2126,470
2500,1002882.0,2128,471
2508,1006708.0,2136,472
2509,1007139.0,2137,473
2519,1009809.0,2146,474
2529,1013455.0,2155,475
2532,1014915.0,2158,476
2535,1016861.0,2161,477
2539,1019199.0,2165,478
2540,1019250.0,2166,479
2545,1020397.0,2170,480
2563,1024031.0,2188,481
2566,1024735.0,2190,482
2574,1031791.0,2197,483
2584,1035760.0,2206,484
2590,1038147.0,2211,485
2592,1039921.0,2213,486
2595,1040900.0,2216,487
2598,1042251.0,2219,488
2605,1044564.0,2225,489
2619,1048992.0,2237,490
2621,1049642.0,2239,491
2622,1049788.0,2240,492
2624,1050545.0,2241,493
2638,1054321.0,2255,494
2643,1055351.0,2260,495
2658,1059938.0,2274,496
2662,1061747.0,2278,497
2672,1065529.0,2288,498
2673,1066202.0,2289,499
2675,1066389.0,2291,500
2680,1068961.0,2294,501
2686,1071923.0,2298,502
2688,1072471.0,2300,503
2701,1076345.0,2312,504
2707,1078107.0,2317,505
2714,1081136.0,2324,506
2719,1083149.0,2328,507
2728,1085979.0,2336,508
2732,1086124.0,2339,509
2733,1087319.0,2340,510
2738,1090240.0,2345,511
2752,1095125.0,2355,512
2757,1096635.0,2359,513
2762,1097623.0,2363,514
2766,1098367.0,2367,515
2770,1100413.0,2371,516
2771,1100432.0,2372,517
2787,1105677.0,2386,518
2794,1106733.0,2392,519
2807,1110771.0,2401,520
2810,1111953.0,2404,521
2831,1118646.0,2422,522
2838,1120646.0,2426,523
2839,1120833.0,2427,524
2851,1124410.0,2438,525
2855,1125877.0,2441,526
2856,1126137.0,2442,527
2858,1126461.0,2444,528
2864,1127518.0,2449,529
2865,1127870.0,2450,530
2875,1130000.0,2460,531
2893,1134068.0,2475,532
2905,1138864.0,2486,533
2915,1141951.0,2495,534
2921,1145367.0,2501,535
2924,1145693.0,2504,536
2927,1147565.0,2507,537
2932,1148979.0,2512,538
2943,1151130.0,2520,539
2952,1153548.0,2529,540
2957,1154273.0,2533,541
2958,1154517.0,2534,542
2959,1154538.0,2535,543
2961,1155744.0,2537,544
2963,1157744.0,2538,545
2970,1160543.0,2542,546
3004,1174629.0,2573,547
3011,1179367.0,2577,548
3015,1181724.0,2581,549
3017,1182635.0,2583,550
3020,1183583.0,2586,551
3028,1188709.0,2594,552
3033,1190154.0,2597,553
3041,1191872.0,2605,554
3054,1199316.0,2617,555
3058,1201265.0,2621,556
3059,1201565.0,2622,557
3069,1205261.0,2631,558
3071,1206616.0,2633,559
3079,1208744.0,2640,560
3088,1211130.0,2648,561
3100,1214428.0,2659,562
3108,1217769.0,2666,563
3118,1221141.0,2674,564
3119,1221582.0,2675,565
3127,1225161.0,2683,566
3136,1228814.0,2690,567
3139,1230221.0,2693,568
3141,1231451.0,2695,569
3142,1231473.0,2696,570
3143,1232035.0,2697,571
3146,1232485.0,2700,572
3150,1236023.0,2704,573
3159,1240684.0,2712,574
3160,1241097.0,2713,575
3167,1243354.0,2718,576
3169,1243630.0,2720,577
3188,1248854.0,2738,578
3190,1249079.0,2740,579
3202,1252293.0,2750,580
3207,1254469.0,2754,581
3214,1257563.0,2760,582
3215,1257825.0,2761,583
3217,1258820.0,2763,584
3223,1262566.0,2768,585
3227,1264583.0,2771,586
3232,1265839.0,2776,587
3240,1267924.0,2782,588
3251,1273416.0,2791,589
3252,1273469.0,2792,590
3262,1277394.0,2801,591
3281,1284919.0,2819,592
3284,1286605.0,2822,593
3285,1286945.0,2823,594
3289,1287814.0,2826,595
3294,1291152.0,2830,596
3297,1292041.0,2833,597
3300,1292829.0,2836,598
3316,1296935.0,2849,599
3324,1298741.0,2857,600
3330,1300678.0,2863,601
3334,1302445.0,2866,602
3338,1304076.0,2870,603
3343,1305021.0,2875,604
3357,1314285.0,2888,605
3368,1320630.0,2897,606
3369,1321339.0,2898,607
3373,1322561.0,2900,608
3378,1325966.0,2905,609
3386,1329903.0,2910,610
3392,1334324.0,2915,611
3397,1335444.0,2919,612
3398,1336540.0,2920,613
3399,1336568.0,2921,614
3402,1337735.0,2924,615
3406,1338973.0,2928,616
3414,1340929.0,2936,617
3419,1343246.0,2941,618
3423,1344590.0,2944,619
3424,1344849.0,2945,620
3425,1344966.0,2946,621
3437,1348144.0,2956,622
3442,1350519.0,2960,623
3444,1351285.0,2962,624
3462,1357687.0,2978,625
3466,1358401.0,2982,626
3467,1358438.0,2983,627
3473,1359617.0,2988,628
3474,1359705.0,2989,629
3480,1361986.0,2993,630
3489,1363987.0,3002,631
3501,1368611.0,3011,632
3503,1369761.0,3013,633
3514,1374221.0,3021,634
3517,1375568.0,3024,635
3518,1376037.0,3025,636
3521,1377329.0,3027,637
3524,1380022.0,3029,638
3526,1380963.0,3030,639
3532,1382559.0,3035,640
3534,1383936.0,3037,641
3537,1385669.0,3038,642
3542,1387788.0,3043,643
3547,1389048.0,3048,644
3566,1397480.0,3066,645
3569,1398770.0,3068,646
3571,1399145.0,3070,647
3579,1400773.0,3076,648
3597,1404546.0,3090,649
3600,1405174.0,3093,650
3610,1407350.0,3102,651
3612,1407876.0,3104,652
3619,1409206.0,3111,653
3626,1409904.0,3118,654
3630,1410883.0,3122,655
3636,1413852.0,3128,656
3644,1417325.0,3135,657
3647,1418265.0,3138,658
3648,1418525.0,3139,659
3654,1420996.0,3145,660
3655,1422082.0,3146,661
3659,1423880.0,3150,662
3661,1425556.0,3152,663
3662,1426758.0,3153,664
3669,1430808.0,3160,665
3683,1434868.0,3173,666
3685,1437212.0,3175,667
3687,1438170.0,3177,668
3689,1439572.0,3179,669
3690,1439698.0,3180,670
3701,1442656.0,3191,671
3708,1444931.0,3198,672
3709,1445456.0,3199,673
3714,1447711.0,3204,674
3718,1450802.0,3208,675
3733,1456943.0,3223,676
3752,1464026.0,3237,677
3760,1466872.0,3245,678
3771,1471479.0,3249,679
3788,1479592.0,3264,680
3791,1482931.0,3267,681
3794,1485530.0,3270,682
3795,1485533.0,3271,683
3797,1486759.0,3272,684
3799,1488681.0,3274,685
3804,1492473.0,3278,686
3824,1499641.0,3296,687
3826,1500159.0,3298,688
3833,1502223.0,3304,689
3859,1514625.0,3328,690
3874,1520879.0,3343,691
3881,1522335.0,3349,692
3887,1525586.0,3355,693
3889,1525701.0,3356,694
3891,1527306.0,3358,695
3914,1536403.0,3380,696
3916,1538109.0,3382,697
3918,1538309.0,3384,698
3930,1541995.0,3396,699
3931,1543261.0,3397,700
3933,1543646.0,3398,701
3934,1544118.0,3399,702
3939,1546419.0,3403,703
3946,1547532.0,3407,704
3954,1549587.0,3413,705
3956,1550479.0,3415,706
3957,1550683.0,3416,707
3959,1551619.0,3417,708
3966,1553929.0,3422,709
3967,1554011.0,3423,710
3976,1563754.0,3429,711
3980,1565855.0,3432,712
3982,1567112.0,3433,713
3984,1569051.0,3435,714
3988,1571494.0,3438,715
3990,1572234.0,3440,716
4014,1582279.0,3461,717
4017,1583072.0,3464,718
4020,1584417.0,3467,719
4025,1586362.0,3472,720
4039,1590869.0,3483,721
4048,1594016.0,3492,722
4052,1595910.0,3493,723
4056,1598580.0,3497,724
4058,1600804.0,3499,725
4069,1603973.0,3509,726
4071,1604703.0,3510,727
4074,1607251.0,3512,728
4076,1608143.0,3514,729
4089,1613737.0,3526,730
4092,1615164.0,3527,731
4096,1616594.0,3531,732
4097,1617472.0,3532,733
4099,1617972.0,3533,734
4101,1619117.0,3535,735
4105,1623352.0,3538,736
4106,1623639.0,3539,737
4113,1629697.0,3544,738
4114,1630064.0,3545,739
4117,1631628.0,3547,740
4118,1632374.0,3548,741
4122,1634035.0,3550,742
4124,1634623.0,3552,743
4140,1641503.0,3560,744
4141,1642578.0,3561,745
4151,1651132.0,3568,746
4156,1653525.0,3572,747
4161,1656004.0,3576,748
4162,1656141.0,3577,749
4172,1658685.0,3587,750
4174,1659435.0,3589,751
4177,1660708.0,3592,752
4179,1661109.0,3593,753
4182,1663426.0,3596,754
4193,1668946.0,3605,755
4195,1670954.0,3607,756
4196,1671212.0,3608,757
4209,1677197.0,3619,758
4215,1678456.0,3623,759
4232,1685875.0,3636,760
4236,1686899.0,3638,761
4241,1689917.0,3642,762
4243,1691714.0,3643,763
4245,1692243.0,3645,764
4246,1692665.0,3646,765
4253,1695778.0,3651,766
4254,1695981.0,3652,767
4262,1699359.0,3657,768
4271,1704457.0,3666,769
4278,1705643.0,3670,770
4280,1706475.0,3672,771
4282,1706906.0,3674,772
4283,1707270.0,3675,773
4285,1707339.0,3677,774
4289,1709215.0,3680,775
4294,1712399.0,3684,776
4311,1720293.0,3697,777
4320,1722854.0,3705,778
4321,1723512.0,3706,779
4323,1724457.0,3707,780
4324,1724711.0,3708,781
4333,1728818.0,3716,782
4344,1732241.0,3723,783
4345,1732491.0,3724,784
4355,1735301.0,3732,785
4356,1736411.0,3733,786
4358,1737295.0,3734,787
4362,1738483.0,3737,788
4364,1738714.0,3739,789
4366,1739224.0,3741,790
4367,1739283.0,3742,791
4385,1744039.0,3757,792
4401,1752197.0,3773,793
4403,1753447.0,3775,794
4405,1754146.0,3777,795
4409,1755571.0,3780,796
4411,1755744.0,3782,797
4414,1756257.0,3785,798
4417,1758309.0,3787,799
4419,1758528.0,3789,800
4422,1760004.0,3792,801
4433,1763326.0,3801,802
4440,1765409.0,3806,803
4442,1765790.0,3808,804
4448,1766648.0,3814,805
4453,1768204.0,3819,806
4464,1770278.0,3828,807
4469,1770773.0,3833,808
4476,1773843.0,3838,809
4479,1774661.0,3841,810
4483,1776415.0,3845,811
4485,1777143.0,3847,812
4491,1780187.0,3851,813
4493,1781024.0,3853,814
4496,1781967.0,3856,815
4500,1783629.0,3858,816
4521,1790655.0,3878,817
4538,1795383.0,3891,818
4540,1795674.0,3892,819
4548,1799451.0,3899,820
4556,1804323.0,3906,821
4559,1806781.0,3909,822
4563,1808441.0,3911,823
4571,1812941.0,3918,824
4572,1813065.0,3919,825
4576,1815307.0,3923,826
4577,1815675.0,3924,827
4592,1821252.0,3936,828
4593,1821845.0,3937,829
4595,1822489.0,3939,830
4601,1824802.0,3945,831
4602,1824986.0,3946,832
4606,1826079.0,3950,833
4607,1826182.0,3951,834
4621,1831097.0,3962,835
4629,1832430.0,3969,836
4633,1834501.0,3973,837
4645,1837093.0,3984,838
4650,1839156.0,3989,839
4652,1839674.0,3991,840
4663,1843170.0,4002,841
4672,1845933.0,4011,842
4674,1846108.0,4013,843
4678,1847140.0,4016,844
4694,1851107.0,4032,845
4697,1851400.0,4034,846
4704,1854376.0,4041,847
4714,1856273.0,4049,848
4727,1863049.0,4060,849
4730,1864635.0,4063,850
4737,1866803.0,4070,851
4739,1867339.0,4072,852
4741,1868137.0,4074,853
4747,1870572.0,4079,854
4763,1875869.0,4092,855
4765,1876394.0,4093,856
4769,1878990.0,4096,857
4770,1879326.0,4097,858
4771,1879372.0,4098,859
4774,1879877.0,4101,860
4777,1881138.0,4104,861
4785,1887877.0,4112,862
4789,1888545.0,4116,863
4792,1891169.0,4119,864
4795,1894207.0,4121,865
4803,1897353.0,4128,866
4804,1897370.0,4129,867
4810,1899021.0,4134,868
4811,1899324.0,4135,869
4818,1903768.0,4141,870
4829,1908405.0,4150,871
4831,1908626.0,4152,872
4835,1910200.0,4156,873
4843,1916865.0,4164,874
4850,1918550.0,4170,875
4864,1922580.0,4179,876
4871,1926181.0,4186,877
4873,1926315.0,4188,878
4877,1927256.0,4191,879
4887,1931626.0,4200,880
4891,1932601.0,4203,881
4895,1934354.0,4206,882
4899,1936080.0,4209,883
4904,1937716.0,4213,884
4912,1939817.0,4221,885
4913,1939837.0,4222,886
4927,1944073.0,4236,887
4957,1955759.0,4259,888
4961,1956907.0,4263,889
4968,1958347.0,4268,890
4977,1961321.0,4273,891
4981,1962264.0,4274,892
4986,1963991.0,4277,893
4993,1967929.0,4283,894
4995,1968482.0,4285,895
4998,1969421.0,4288,896
5009,1974296.0,4298,897
5011,1975022.0,4299,898
5019,1977231.0,4307,899
5022,1978307.0,4310,900
5029,1981195.0,4314,901
5036,1983012.0,4321,902
5053,1987704.0,4335,903
5055,1988401.0,4337,904
5056,1988662.0,4338,905
5079,1997359.0,4359,906
5082,1998797.0,4362,907
5094,2001916.0,4373,908
5100,2005331.0,4378,909
5102,2006085.0,4380,910
5103,2006125.0,4381,911
5109,2008333.0,4384,912
5112,2009042.0,4387,913
5115,2010419.0,4388,914
5122,2013098.0,4394,915
5125,2014610.0,4396,916
5128,2015446.0,4399,917
5132,2016939.0,4402,918
5133,2016941.0,4403,919
5139,2018904.0,4409,920
5141,2020100.0,4411,921
5144,2021215.0,4413,922
5145,2021345.0,4414,923
5168,2033147.0,4431,924
5170,2033623.0,4432,925
5176,2037381.0,4436,926
5179,2038246.0,4439,927
5181,2039436.0,4441,928
5182,2039660.0,4442,929
5184,2040643.0,4444,930
5185,2041501.0,4445,931
5186,2042514.0,4446,932
5189,2043746.0,4449,933
5198,2048230.0,4456,934
5200,2048862.0,4457,935
5210,2051734.0,4465,936
5214,2053335.0,4468,937
5215,2053568.0,4469,938
5220,2055456.0,4474,939
5237,2062316.0,4489,940
5242,2064404.0,4494,941
5246,2065691.0,4498,942
5248,2066355.0,4500,943
5252,2069208.0,4504,944
5255,2069612.0,4507,945
5257,2070574.0,4509,946
5272,2076217.0,4524,947
5276,2076520.0,4528,948
5290,2079148.0,4541,949
5295,2080060.0,4545,950
5300,2081371.0,4550,951
5305,2083739.0,4555,952
5307,2085001.0,4556,953
5312,2086922.0,4560,954
5319,2090829.0,4567,955
5321,2092193.0,4569,956
5324,2093219.0,4571,957
5334,2097185.0,4580,958
5340,2100378.0,4586,959
5344,2100827.0,4589,960
5348,2102929.0,4593,961
5351,2104911.0,4596,962
5354,2105280.0,4599,963
5364,2111536.0,4609,964
5368,2113161.0,4611,965
5370,2114339.0,4613,966
5382,2121825.0,4625,967
5385,2122238.0,4628,968
5386,2122911.0,4629,969
5387,2123385.0,4630,970
5394,2126814.0,4635,971
5404,2130465.0,4645,972
5410,2130984.0,4651,973
5417,2132264.0,4657,974
5427,2137628.0,4666,975
5432,2138935.0,4669,976
5434,2139598.0,4671,977
5437,2140710.0,4674,978
5438,2140791.0,4675,979
5444,2142886.0,4681,980
5455,2151664.0,4691,981
5461,2153967.0,4697,982
5476,2161670.0,4711,983
5484,2162841.0,4719,984
5485,2163599.0,4720,985
5490,2164433.0,4725,986
5499,2166615.0,4734,987
5505,2168474.0,4740,988
5509,2170634.0,4742,989
5510,2171123.0,4743,990
5513,2172090.0,4746,991
5518,2174495.0,4751,992
5529,2180370.0,4761,993
5530,2180777.0,4762,994
5533,2182254.0,4765,995
5538,2184646.0,4769,996
5542,2185557.0,4773,997
5544,2186180.0,4775,998
5562,2190417.0,4791,999
5565,2191816.0,4793,1000
5567,2193070.0,4795,1001
5569,2193519.0,4797,1002
5573,2194945.0,4801,1003
5574,2195051.0,4802,1004
5583,2197254.0,4810,1005
5587,2197534.0,4814,1006
5590,2198985.0,4817,1007
5592,2199311.0,4819,1008
5601,2202067.0,4827,1009
5604,2205198.0,4830,1010
5619,2210846.0,4840,1011
5621,2211865.0,4842,1012
5624,2212584.0,4845,1013
5633,2214865.0,4854,1014
5635,2215233.0,4856,1015
5636,2215574.0,4857,1016
5641,2217039.0,4862,1017
5650,2222617.0,4870,1018
5670,2229944.0,4889,1019
5675,2231993.0,4894,1020
5683,2233131.0,4902,1021
5686,2234204.0,4905,1022
5692,2235314.0,4910,1023
5694,2237740.0,4912,1024
5697,2239099.0,4915,1025
5702,2242394.0,4920,1026
5707,2243389.0,4925,1027
5717,2249531.0,4934,1028
5718,2249642.0,4935,1029
5719,2249661.0,4936,1030
5720,2250070.0,4937,1031
5728,2251948.0,4944,1032
5733,2253363.0,4948,1033
5745,2258137.0,4959,1034
5750,2260694.0,4964,1035
5764,2265085.0,4976,1036
5765,2265477.0,4977,1037
5769,2267198.0,4981,1038
5772,2268414.0,4983,1039
5775,2269822.0,4986,1040
5778,2270377.0,4989,1041
5783,2272888.0,4992,1042
5788,2275307.0,4997,1043
5797,2279707.0,5002,1044
5802,2280693.0,5007,1045
5805,2281731.0,5009,1046
5806,2282360.0,5010,1047
5807,2283058.0,5011,1048
5812,2284536.0,5014,1049
5814,2285294.0,5016,1050
5817,2288086.0,5019,1051
5835,2293555.0,5037,1052
5843,2297178.0,5043,1053
5854,2299482.0,5053,1054
5859,2301022.0,5057,1055
